DATE,VANGSP
2000-01-01,268608.7
2001-01-01,285663.4
2002-01-01,294929.1
2003-01-01,311093.1
2004-01-01,331815.8
2005-01-01,357427.0
2006-01-01,376429.4
2007-01-01,391595.5
2008-01-01,402157.8
2009-01-01,409935.3
2010-01-01,425490.8
2011-01-01,433683.7
2012-01-01,445008.5
2013-01-01,456911.6
2014-01-01,465601.7
2015-01-01,485540.9
2016-01-01,499032.4
2017-01-01,515167.2
2018-01-01,537158.3
2019-01-01,561701.8
2020-01-01,565466.8
2021-01-01,615984.7
2022-01-01,666681.8
2023-01-01,719896.9
