DATE,VAPOP
2000-01-01,7105.817
2001-01-01,7198.362
2002-01-01,7286.873
2003-01-01,7366.977
2004-01-01,7475.575
2005-01-01,7577.105
2006-01-01,7673.725
2007-01-01,7751.000
2008-01-01,7833.496
2009-01-01,7925.937
2010-01-01,8024.004
2011-01-01,8102.437
2012-01-01,8187.456
2013-01-01,8255.861
2014-01-01,8315.43
2015-01-01,8367.303
2016-01-01,8417.651
2017-01-01,8471.011
2018-01-01,8510.92
2019-01-01,8556.642
2020-01-01,8637.193
2021-01-01,8657.348
2022-01-01,8679.099
2023-01-01,8715.698
